id_site,nom,region,ville_commune,type_activite,sous_types_tags,latitude,longitude,adresse_ou_description_localisation,difficulte,duree_typique_visite,prix_approximatif_ar,prix_approximatif_eur,saison_recommandee,note_moyenne,nombre_avis,source_note,lien_page,description_courte,acces_transport,contraintes,cluster
11,Nosy Be (l'île principale),Nosy-Be,Hell-Ville,Plages et littoral,plage;île;paradis;mer,-13.4,48.25,Île au nord-ouest de Madagascar,Facile,24.0,0,0.0,Mai à octobre,4.7,0,tripadvisor,,Île paradisiaque aux plages de sable blanc,Avion ou bateau,Meilleure saison sèche,3
12,Réserve de Lokobe,Nosy-Be,Nosy Be,Nature et parcs nationaux,forêt;biodiversité;réserve,-13.4167,48.3167,Réserve naturelle stricte de Nosy Be,Moyenne,8.0,20000,3.6,Mai à octobre,4.6,0,tripadvisor,,Réserve naturelle abritant une biodiversité exceptionnelle,Bateau puis marche,Guide obligatoire,0
13,Nosy Komba,Nosy-Be,Nosy Be,Plages et littoral,île;lémuriens;artisanat,-13.4667,48.3667,Île près de Nosy Be,Facile,4.0,15000,2.7,Mai à octobre,4.5,0,tripadvisor,https://www.tripadvisor.com/Tourism-g635737-Nosy_Komba_Antsiranana_Province-Vacations.html,Île aux lémuriens et village artisanal,Bateau depuis Nosy Be,Marée à considérer,0
14,Nosy Tanikely,Nosy-Be,Nosy Be,Plages et littoral,réserve marine;snorkeling;plongée,-13.5167,48.2333,Réserve marine près de Nosy Be,Facile,4.0,25000,4.5,Mai à octobre,4.8,0,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g2568635-d2538001-Reviews-Nosy_Tanikely-Nosy_Tanihely_Antsiranana_Province.html,Réserve marine paradisiaque pour le snorkeling,Bateau excursion,Équipement snorkeling recommandé,0
15,Nosy Iranja,Nosy-Be,Nosy Be,Plages et littoral,île double;plage;isolement,-13.65,47.6,Île double au nord-ouest,Moyenne,8.0,30000,5.4,Mai à octobre,4.9,0,tripadvisor,https://www.tripadvisor.com/Tourism-g479207-Nosy_Iranja_Antsiranana_Province-Vacations.html,Île double reliée par un banc de sable à marée basse,Bateau journée,Marée basse seulement,4
16,Mont Passot,Nosy-Be,Nosy Be,Aventure et randonnée,point de vue;panorama;randonnée,-13.3833,48.2333,Point culminant de Nosy Be,Moyenne,2.5,10000,1.8,Mai à octobre,4.4,0,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g479206-d9462520-Reviews-Mont_Passot-Nosy_Be_Antsiranana_Province.html,Panorama à 360° sur l'archipel,Taxi ou voiture,Coucher de soleil conseillé,0
17,Hell-Ville & plantations d'ylang-ylang,Nosy-Be,Hell-Ville,Culture et histoire,ville;plantations;fleurs,-13.4,48.2667,Capitale de Nosy Be,Facile,2.0,5000,0.9,Mai à octobre,4.3,0,tripadvisor,,Capitale et plantations de fleurs,Taxi ou marche,Visite guidée plantations,0
18,Observation du requin-baleine,Nosy-Be,Nosy Be,Sports nautiques,faune marine;excursion;plongée,-13.5,48.2,Mer au large de Nosy Be,Difficile,4.0,50000,9.0,Juillet à octobre,4.9,0,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g479206-d3950225-Reviews-Les_Baleines_Rand_eau-Nosy_Be_Antsiranana_Province.html,Excursion pour observer les requins-baleines,Bateau spécialisé,Saisonnier (juil-oct),4
19,Plage de Madirokely,Nosy-Be,Nosy Be,Plages et littoral,plage;baignade;cocotiers,-13.4167,48.2833,Côte ouest de Nosy Be,Facile,3.0,0,0.0,Mai à octobre,3.4,8,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g479206-d24988008-Reviews-Plage_de_Madirokely-Nosy_Be_Antsiranana_Province.html,Magnifique plage de sable blanc bordée de cocotiers,Taxi ou tuk-tuk,Meilleure en semaine,2
20,Plage d'Andilana,Nosy-Be,Nosy Be,Plages et littoral,plage;coucher soleil;luxe,-13.2833,48.2333,Extrémité nord de Nosy Be,Facile,3.0,0,0.0,Mai à octobre,4.7,0,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g9859532-d24902218-Reviews-Plage_D_andilana-Andilana_Nosy_Be_Antsiranana_Province.html,Plus belle plage de Nosy Be idéale pour le coucher de soleil,Taxi ou scooter,Éloignée du centre,0
21,Cascade de Lemuria,Nosy-Be,Nosy Be,Aventure et randonnée,cascade;forêt;rafraîchissement,-13.4333,48.3,Forêt tropicale de Nosy Be,Moyenne,2.0,8000,1.4,Mai à octobre,4.2,433,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g479206-d7180026-Reviews-Lemuria_Land-Nosy_Be_Antsiranana_Province.html,Cascade rafraîchissante au cœur de la forêt,Taxi puis marche,Saison des pluies plus belle,0
22,Marché artisanal d'Hell-Ville,Nosy-Be,Hell-Ville,Artisanat et marchés,marché;épices;artisanat,-13.4,48.2667,Centre d'Hell-Ville,Facile,1.0,0,0.0,Toute l'année,4.2,0,tripadvisor,,Marché coloré proposant épices et artisanat,Taxi ou marche,Négociation possible,2
23,Baie de Diego & Ramena,Antsiranana I,Antsiranana,Plages et littoral,baie;plage;baignade,-12.25,49.3,Baie de Diego-Suarez,Facile,4.0,0,0.0,Avril à novembre,4.6,0,tripadvisor,,Une des plus belles baies du monde avec plage,Taxi ou voiture,Très fréquenté,0
24,Mer d'Émeraude,Antsiranana I,Antsiranana,Plages et littoral,lagune;eaux cristallines;bateau,-12.1667,49.2833,Lagune près d'Antsiranana,Facile,4.0,15000,2.7,Avril à novembre,4.6,133,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g298270-d7277084-Reviews-Mer_D_Emeraude-Antsiranana_Diego_Suarez_Antsiranana_Province.html,Lagune aux eaux couleur émeraude unique,Bateau excursion,Marée haute recommandée,0
25,Baie de Sakalava (spot kitesurf),Antsiranana II,Antsiranana,Sports nautiques,kitesurf;plage;vent,-12.1833,49.2667,Baie près d'Antsiranana,Expert,3.0,20000,3.6,Mai à octobre,4.7,0,tripadvisor,,Spot de kitesurf réputé avec vents constants,Taxi ou voiture,Matériel à louer,0
26,Parc national de la Montagne d'Ambre,Antsiranana I,Antsiranana,Nature et parcs nationaux,parc national;volcan;cascades,-12.6,49.15,Montagne au sud d'Antsiranana,Moyenne,8.0,25000,4.5,Avril à novembre,4.5,0,tripadvisor,,Parc national volcanique avec cascades et forêt,Taxi-brousse puis guide,Guide obligatoire,0
27,Réserve spéciale d'Ankarana,Antsiranana II,Ambilobe,Nature et parcs nationaux,forêt sèche;tsingy;grottes,-13.0667,48.9167,Forêt sèche d'Ankarana,Moyenne,8.0,20000,3.6,Juin à novembre,4.6,0,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g298270-d2391604-Reviews-Ankarana_Special_Reserve-Antsiranana_Diego_Suarez_Antsiranana_Province.html,Forêt sèche abritant des tsingy et grottes,Voiture 4x4 puis guide,Chaud et sec,0
28,Tsingy Rouge (Irodo),Antsiranana I,Antsiranana,Géologie et paysages,géologie;terre rouge;érosion,-13.1167,49.0333,Formations géologiques près d'Antsiranana,Facile,2.5,15000,2.7,Avril à novembre,4.4,0,tripadvisor,,Formations géologiques uniques de terre rouge érodée,Taxi puis marche,Meilleur lumière matinale,0
29,Montagne des Français,Antsiranana I,Antsiranana,Culture et histoire,histoire;point de vue;guerre,-12.2833,49.3333,Colline près d'Antsiranana,Moyenne,2.0,5000,0.9,Avril à novembre,4.2,0,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g298270-d7202138-Reviews-Montagne_des_Francais-Antsiranana_Diego_Suarez_Antsiranana_Province.html,Site historique de la seconde guerre mondiale,Taxi puis randonnée,Chaussures de marche,0
30,Plage de Ramena,Antsiranana I,Antsiranana,Plages et littoral,plage;baignade;longue,-12.2333,49.35,Près d'Antsiranana,Facile,3.0,0,0.0,Avril à novembre,3.6,81,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g298270-d14107118-Reviews-Ramena_Beach-Antsiranana_Diego_Suarez_Antsiranana_Province.html,Longue plage de sable blanc idéale pour la baignade,Taxi ou voiture,Populaire le weekend,2
31,Cap Diego,Antsiranana I,Antsiranana,Plages et littoral,cap;point de vue;baie,-12.2667,49.3167,Pointe nord de la baie de Diego,Facile,1.0,0,0.0,Avril à novembre,4.3,0,tripadvisor,,Pointe nord de la baie offrant un panorama spectaculaire,Taxi ou voiture,Accès facile,0
32,Jardin Botanique de la Montagne d'Ambre,Antsiranana I,Antsiranana,Nature et parcs nationaux,jardin;flore;endémique,-12.5833,49.1667,Sur la route du parc Montagne d'Ambre,Facile,1.5,10000,1.8,Avril à novembre,4.2,0,tripadvisor,,Jardin présentant la flore endémique du Nord,Taxi-brousse,Visite rapide,0
33,Observation des baleines à bosse (Sainte-Marie),Nosy Boraha,Sainte-Marie,Observation animalière,baleines;migration;excursion,-16.9,49.9,Mer autour de Sainte-Marie,Moyenne,4.0,35000,6.3,Juillet à septembre,4.9,0,tripadvisor,,Observation des baleines durant leur migration,Bateau excursion,Saisonnier (juil-sept),4
34,Îlots aux Nattes (Nosy Nato),Nosy Boraha,Sainte-Marie,Plages et littoral,îlot;plage;paradis,-17.0333,49.8167,Petit îlot près de Sainte-Marie,Facile,4.0,12000,2.2,Juin à septembre,4.7,0,tripadvisor,,Petit îlot paradisiaque aux plages immaculées,Bateau depuis Sainte-Marie,Marée à vérifier,0
35,Baie d'Ampanihy,Nosy Boraha,Sainte-Marie,Plages et littoral,baie;baignade;snorkeling,-16.95,49.9167,Baie abritée de Sainte-Marie,Facile,2.5,0,0.0,Juin à septembre,4.5,0,tripadvisor,,Belle baie abritée idéale pour la baignade et snorkeling,Bateau ou marche,Calme et protégée,0
36,Cimetière des pirates,Nosy Boraha,Sainte-Marie,Culture et histoire,histoire;pirates;cimetière,-17.0167,49.85,Côte est de Sainte-Marie,Facile,1.0,5000,0.9,Toute l'année,4.1,0,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g303986-d5232703-Reviews-Pirate_Cemetery_on_Nosy_Boraha-Nosy_Boraha_Toamasina_Province.html,Cimetière historique où reposent d'anciens pirates,Taxi ou marche,Guide local recommandé,2
37,Phare d'Albrand,Nosy Boraha,Sainte-Marie,Culture et histoire,phare;point de vue;histoire,-17.05,49.8667,Extrémité nord de Sainte-Marie,Facile,1.0,3000,0.5,Toute l'année,4.0,0,tripadvisor,,Ancien phare français offrant vue panoramique,Taxi ou scooter,Accès parfois fermé,2
38,Plage d'Ambodifotatra,Nosy Boraha,Sainte-Marie,Plages et littoral,plage;village;baignade,-17.0167,49.85,Près du village principal,Facile,2.5,0,0.0,Juin à septembre,4.4,0,tripadvisor,,Plage principale de Sainte-Marie près du village,Taxi ou marche,Populaire,0
39,Baie des Forbans,Nosy Boraha,Sainte-Marie,Culture et histoire,histoire;pirates;baie,-17.0,49.8667,Ancien repaire de pirates,Facile,1.5,0,0.0,Toute l'année,4.2,0,tripadvisor,,Ancien repaire de pirates aujourd'hui paisible,Bateau ou marche,Histoire intéressante,2
40,Canal des Pangalanes - Akanin'ny Nofy / Palmarium,Toamasina I,Toamasina,Écotourisme,canal;forêt;lémuriens,-18.75,49.1,Canal des Pangalanes près de Toamasina,Facile,8.0,30000,5.4,Avril à novembre,4.5,176,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g1916792-d3556594-Reviews-Canal_des_Pangalanes-Manakara_Fianarantsoa_Province.html,Canal naturel bordé de forêt et réserve de lémuriens,Bateau depuis Toamasina,Excursion journée,3
41,Parc zoologique d'Ivoloina,Toamasina II,Toamasina,Observation animalière,zoo;éducation;forêt,-18.0667,49.3833,Station forestière d'Ivoloina,Facile,2.5,15000,2.7,Mai à octobre,4.0,120,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g316110-d2391589-Reviews-Parc_Ivoloina-Toamasina_Tamatave_Toamasina_Province.html,Parc zoologique et station forestière éducative,Taxi depuis Toamasina,Visite éducative,2
42,Mahavelona / Foulpointe,Toamasina I,Toamasina,Plages et littoral,station balnéaire;plage;fort,-17.6667,49.5167,Côte est de Madagascar,Facile,4.0,0,0.0,Avril à novembre,4.3,0,tripadvisor,,Station balnéaire populaire avec plage et fort historique,Taxi-brousse depuis Toamasina,Très fréquenté,2
43,Mahambo,Toamasina I,Toamasina,Sports nautiques,plage;surf;baignade,-17.4833,49.45,Côte est près de Toamasina,Moyenne,2.5,0,0.0,Avril à novembre,4.4,0,tripadvisor,,Plage réputée pour le surf et les bains de mer,Taxi-brousse,Saison des vagues,2
44,Tampolo / Fenoarivo Atsinanana,Toamasina I,Toamasina,Plages et littoral,plage sauvage;pêche;nature,-17.3667,49.4167,Côte est préservée,Facile,2.5,0,0.0,Avril à novembre,4.2,0,tripadvisor,,Plage sauvage et station de pêche traditionnelle,Taxi-brousse,Peu d'infrastructures,2
45,Parc national de Zahamena,Toamasina I,Toamasina,Nature et parcs nationaux,forêt humide;biodiversité;parc,-17.5,48.75,Parc national de l'est,Expert,8.0,20000,3.6,Avril à novembre,4.6,0,tripadvisor,,Parc national de forêt humide abritant biodiversité unique,4x4 puis guide,Accès difficile,3
46,Parc national d'Ankarafantsika,Mahajanga II,Mahajanga,Nature et parcs nationaux,forêt sèche;lac;parc,-16.25,46.9,Entre Mahajanga et Antananarivo,Moyenne,8.0,20000,3.6,Mai à octobre,4.5,0,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g303985-d4225667-Reviews-Ankarafantsika_National_Park-Mahajanga_Mahajanga_Province.html,Parc national de forêt sèche et lac sacré,Taxi-brousse depuis Mahajanga,Guide recommandé,3
47,Cirque Rouge,Mahajanga I,Mahajanga,Géologie et paysages,géologie;terre rouge;formations,-15.6833,46.35,Près de Mahajanga,Facile,1.5,8000,1.4,Avril à novembre,4.3,0,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g303985-d8376741-Reviews-Cirque_Rouge-Mahajanga_Mahajanga_Province.html,Formations géologiques de terre rouge spectaculaires,Taxi depuis Mahajanga,Meilleur en fin d'après-midi,2
48,Antsanitia (plages),Mahajanga I,Mahajanga,Plages et littoral,plages sauvages;nature;isolement,-15.5333,46.4333,Plages au nord de Mahajanga,Facile,4.0,0,0.0,Avril à novembre,4.4,0,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g303985-d12730756-Reviews-Antsanitia_Beach-Mahajanga_Mahajanga_Province.html,Belles plages sauvages au nord de Mahajanga,Taxi ou scooter,Peu d'ombre,2
49,Grottes d'Anjohibe,Mahajanga I,Mahajanga,Aventure et randonnée,grottes;rivière souterraine;spéléologie,-16.0833,46.8333,Près de Mahajanga,Difficile,3.5,15000,2.7,Mai à octobre,4.5,0,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g303985-d8379630-Reviews-Grotte_d_Anjohibe-Mahajanga_Mahajanga_Province.html,Réseau de grottes impressionnant avec rivière souterraine,4x4 puis guide,Équipement nécessaire,0
50,Allée des Baobabs de Mahajanga,Mahajanga I,Mahajanga,Géologie et paysages,baobab;alignement;ville,-15.7167,46.3167,En ville de Mahajanga,Facile,0.5,0,0.0,Toute l'année,4.2,0,tripadvisor,,Alignement de baobabs majestueux en ville,Taxi ou marche,En centre-ville,2
51,Avenue des Baobabs (Morondava),Morondava,Morondava,Géologie et paysages,baobab;coucher soleil;iconique,-20.25,44.4167,Route entre Morondava et Belo sur Tsiribihina,Facile,1.5,0,0.0,Avril à novembre,4.7,801,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g298273-d1230499-Reviews-Avenue_of_the_Baobabs-Morondava_Toliara_Province.html,Allée célèbre de baobabs centenaires site iconique,Taxi depuis Morondava,Coucher de soleil magique,5
52,Baobab Amoureux,Morondava,Morondava,Géologie et paysages,baobab;nature;romantique,-20.2667,44.45,Près de l'Avenue des Baobabs,Facile,0.5,0,0.0,Avril à novembre,4.7,0,tripadvisor,,Deux baobabs entrelacés formant un cœur naturel,Taxi depuis Morondava,Photos romantiques,6
53,Parc national des Tsingy de Bemaraha,Antsalova,Morondava,Géologie et paysages,UNESCO;tsingy;karst;unique,-18.9167,44.8333,Parc national dans l'ouest,Difficile,8.0,35000,6.3,Juillet à octobre,4.8,0,tripadvisor,,Site UNESCO aux formations karstiques uniques au monde,4x4 puis guide,Exigeant physiquement,3
54,Plage de Morondava,Morondava,Morondava,Plages et littoral,plage;mer;coucher soleil,-20.2833,44.2833,Côte ouest face au canal du Mozambique,Facile,2.5,0,0.0,Avril à novembre,4.4,0,tripadvisor,,Longue plage de sable face au canal du Mozambique,Taxi ou marche,Marées importantes,6
55,Embouchure du Morondava,Morondava,Morondava,Géologie et paysages,estuaire;fleuve;mer,-20.3,44.2667,Embouchure du fleuve Morondava,Facile,1.0,0,0.0,Avril à novembre,4.2,0,tripadvisor,,Estuaire où le fleuve rencontre la mer,Taxi ou marche,Marée basse intéressante,6
56,Parc national de l'Isalo (Ranohira),Ankazoabo Sud,Ranohira,Géologie et paysages,parc national;canyons;piscines naturelles,-22.55,45.3833,Massif de l'Isalo dans le sud,Moyenne,8.0,25000,4.5,Avril à octobre,4.5,0,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g2268327-d576144-Reviews-Isalo_National_Park-Ranohira_Fianarantsoa_Province.html,Massif ruiniforme aux canyons et piscines naturelles,Voiture puis guide,Randonnée nécessaire,3
57,Arboretum d'Antsokay (près de Toliara),Toliara I,Toliara,Écotourisme,jardin botanique;plantes du sud;conservation,-23.3667,43.6833,Près de Toliara,Facile,1.5,10000,1.8,Avril à novembre,4.3,0,tripadvisor,,Jardin botanique consacré aux plantes du Sud,Taxi depuis Toliara,Visite éducative,6
58,Ifaty–Mangily,Toliara II,Toliara,Plages et littoral,station balnéaire;réserve marine;plongée,-23.15,43.6,Côte sud-ouest près de Toliara,Facile,4.0,0,0.0,Mai à octobre,4.5,0,tripadvisor,,Station balnéaire et réserve marine renommée,Taxi-brousse depuis Toliara,Infrastructures touristiques,6
59,Anakao & Nosy Ve,Toliara II,Toliara,Plages et littoral,village;pêcheurs;île aux oiseaux,-23.6667,43.65,Village au sud de Toliara,Facile,4.0,15000,2.7,Mai à octobre,4.6,0,tripadvisor,,Village de pêcheurs Vezo et île aux oiseaux,Bateau depuis Toliara,Culture vezo authentique,1
60,Parc de Tsimanampetsotsa,Toliara II,Toliara,Nature et parcs nationaux,lac salé;forêt épineuse;parc,-24.1,43.75,Parc national du sud-ouest,Moyenne,8.0,20000,3.6,Avril à octobre,4.4,0,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g3657331-d576143-Reviews-Parc_National_de_Tsimanampetsotsa-Toliara_Province.html,Parc national avec lac salé et forêt épineuse,4x4 depuis Toliara,Chaud et sec,1
61,Canyon de l'Isalo,Ankazoabo Sud,Ranohira,Aventure et randonnée,canyon;randonnée;paysages,-22.5667,45.3667,Dans le parc national de l'Isalo,Moyenne,2.5,0,0.0,Avril à octobre,4.6,0,tripadvisor,,Canyon spectaculaire avec piscines naturelles,Randonnée avec guide,Eau potable nécessaire,6
62,Piscines naturelles de l'Isalo,Ankazoabo Sud,Ranohira,Aventure et randonnée,piscines naturelles;baignade;oasis,-22.55,45.35,Dans le parc national de l'Isalo,Facile,1.5,0,0.0,Avril à octobre,4.7,0,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g2268327-d25775232-Reviews-Piscine_Naturelle_de_l_Isalo-Ranohira_Fianarantsoa_Province.html,Bassins naturels d'eau rafraîchissante,Randonnée avec guide,Maillot de bain nécessaire,6
63,Parc national de Ranomafana,Ifanadiana,Ranomafana,Nature et parcs nationaux,forêt tropicale;thermes;biodiversité,-21.2,47.4,Parc national centre-est,Moyenne,8.0,25000,4.5,Avril à novembre,4.6,0,tripadvisor,,Parc de forêt tropicale humide et sources thermales,Taxi-brousse puis guide,Climat humide,3
64,Réserve d'Anja (Ambalavao),Ambalavao,Ambalavao,Observation animalière,lémuriens;réserve communautaire;rochers,-21.8333,46.9333,Près d'Ambalavao,Facile,2.5,10000,1.8,Mai à octobre,4.6,353,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g1468138-d2369029-Reviews-Anja_Reserve-Ambalavao_Fianarantsoa_Province.html,Réserve communautaire abritant des lémuriens,Taxi depuis Ambalavao,Visite courte,2
65,Vallée du Tsaranoro (Andringitra),Ambalavao,Ambalavao,Aventure et randonnée,vallée;granit;randonnée,-22.1833,46.9667,Vallée près d'Ambalavao,Difficile,4.0,15000,2.7,Mai à octobre,4.7,0,site_web,https://madagascar-vacances.fr/vallee-de-tsaranoro-tsarasoa-2022,Vallée spectaculaire aux parois granitiques,4x4 puis randonnée,Exigeant physiquement,3
66,Train Fianarantsoa–Côte Est,Fianarantsoa,Fianarantsoa,Culture et histoire,train;pittoresque;voyage,-21.4536,47.0858,De Fianarantsoa à Manakara,Moyenne,8.0,30000,5.4,Avril à novembre,3.7,104,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g298271-d1008505-Reviews-Fianarantsoa_Cote_Est_FCE-Fianarantsoa_Fianarantsoa_Province.html,Trajet en train pittoresque traversant la forêt,Gare de Fianarantsoa,Réservation à l'avance,2
67,Ville haute de Fianarantsoa & vignobles,Fianarantsoa,Fianarantsoa,Culture et histoire,ville historique;vignobles;architecture,-21.4536,47.0858,Vieille ville de Fianarantsoa,Facile,2.5,0,0.0,Avril à novembre,4.4,0,tripadvisor,,Vieille ville historique et domaines viticoles,Taxi ou marche,Collines,2
68,Parc national d'Andringitra (Pic Boby),Ambalavao,Ambalavao,Aventure et randonnée,massif montagneux;randonnée;sommet,-22.2,46.8833,Massif montagneux du sud,Expert,,30000,5.4,Mai à octobre,4.9,0,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g1468138-d3620699-Reviews-Parc_National_de_l_Andringitra-Ambalavao_Fianarantsoa_Province.html,Massif montagneux et 2ème plus haut sommet,4x4 puis guide expérimenté,Trekking exigeant,4
69,Fabrique de papier Antemoro,Ambalavao,Ambalavao,Artisanat et marchés,artisanat;papier;tradition,-21.8333,46.9333,En ville d'Ambalavao,Facile,1.0,5000,0.9,Toute l'année,4.2,0,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g1468138-d26832308-Reviews-La_Fabrique_De_Papier_Artisanal_Antemoro-Ambalavao_Fianarantsoa_Province.html,Atelier traditionnel de fabrication de papier décoré,Taxi ou marche,Achat souvenirs possible,2
70,Vignobles d'Ambalavao,Ambalavao,Ambalavao,Gastronomie et vignobles,vignobles;vin;dégustation,-21.8333,46.9333,Domaines viticoles près d'Ambalavao,Facile,1.5,8000,1.4,Mai à octobre,4.3,0,tripadvisor,,Domaines viticoles produisant le vin malgache,Taxi depuis Ambalavao,Dégustation payante,2
71,Thermes & artisanat d'Antsirabe,Antsirabe,Antsirabe,Thermalisme et bien-être,thermes;artisanat;station thermale,-19.8667,47.0333,Centre-ville d'Antsirabe,Facile,4.0,5000,0.9,Avril à novembre,4.5,0,tripadvisor,,Station thermale et centre artisanal réputé,Taxi ou pousse-pousse,Infrastructures thermales,2
72,Lac Andraikiba,Antsirabe II,Antsirabe,Volcanisme et lacs,lac;nautisme;détente,-19.9167,47.0667,Lac de cratère près d'Antsirabe,Facile,2.5,0,0.0,Toute l'année,3.5,71,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g316107-d8684302-Reviews-Lac_Andraikiba-Antsirabe_Antananarivo_Province.html,Lac de cratère aux eaux claires et activités nautiques,Taxi ou scooter,Activités payantes,2
73,Lac Tritriva,Antsirabe II,Antsirabe,Volcanisme et lacs,lac volcanique;sacré;profond,-19.9333,46.9167,Lac volcanique près d'Antsirabe,Moyenne,2.0,5000,0.9,Avril à novembre,4.2,151,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g316107-d4507411-Reviews-Lac_Tritriva-Antsirabe_Antananarivo_Province.html,Lac volcanique sacré aux eaux profondes et transparentes,Taxi puis marche,Site sacré - respect,2
74,Mont Ibity,Antsirabe II,Antsirabe,Aventure et randonnée,montagne;rochers;randonnée,-20.0833,47.0167,Montagne près d'Antsirabe,Difficile,3.5,8000,1.4,Avril à novembre,4.4,0,tripadvisor,,Montagne aux formations rocheuses uniques,Taxi puis randonnée,Chaussures de marche,2
